Field Name,Type,Description
fuel_cost_per_mmbtu,number,"Average cost of fuel consumed in the report year, in nominal USD per mmBTU of fuel heat content."
fuel_cost_per_unit_burned,number,"Average cost of fuel consumed in the report year, in nominal USD per reported fuel unit."
fuel_cost_per_unit_delivered,number,"Average cost of fuel delivered in the report year, in nominal USD per reported fuel unit."
fuel_mmbtu_per_unit,number,"Average heat content of fuel consumed in the report year, in mmBTU per reported fuel unit."
fuel_qty_burned,number,"Quantity of fuel consumed in the report year, in terms of the reported fuel units."
fuel_type_code_pudl,string,PUDL assigned code indicating the general fuel type.
fuel_unit,string,PUDL assigned code indicating reported fuel unit of measure.
plant_name_ferc1,string,"Name of the plant, as reported to FERC. This is a freeform string, not guaranteed to be consistent across references to the same plant."
record_id,string,Identifier indicating original FERC Form 1 source record. format: {table_name}_{report_year}_{report_prd}_{respondent_id}_{spplmnt_num}_{row_number}. Unique within FERC Form 1 DB tables which are not row-mapped.
report_year,year,Four-digit year in which the data was reported.
utility_id_ferc1,integer,"FERC assigned respondent_id, identifying the reporting entity. Stable from year to year."
